,사번,지급일,입사일,퇴사일,퇴직금,지급일_dt,입사일_dt,지급년도,지급월,총지급액
341,IT201238,0,20020126,,0,1899-12-30T00:00:00.000,,1899,12,0
342,IT201239,0,19940315,,0,1899-12-30T00:00:00.000,,1899,12,0
343,IT201240,0,19920609,,0,1899-12-30T00:00:00.000,,1899,12,0
344,IT201241,0,19971001,,0,1899-12-30T00:00:00.000,,1899,12,0
345,IT201242,0,19971011,,0,1899-12-30T00:00:00.000,,1899,12,0
